HUD_ID,Property Name,Have PDF?,Have PDF for management,Property Address,City,State,lat,lng,walkscore,Subsidy End Date,Total Units,Active Subsidies,Owner,Owner Type,Management,Building Contact/Source,uri
,1200 Irving Street,N,N,1200 Irving St NW,Washington,DC,38.9284345,-77.0278773,92,5/6/2020,8,1,,,,,
,1249 I St NE,N,N,1249 I St NE,Washington,DC,38.901094,-76.98869,87,,NA,NA,,,,,
,1314 K St NE,N,N,1314 K St NE,Washington,DC,38.9025039,-76.9896442,86,,NA,NA,,,,,
,1327 Kenyon Street Cooperative,N,N,1327 Kenyon St NW,Washington,DC,38.9300179,-77.030761,96,7/8/2020,12,1,New Columbia Land Trust,,,,
800003741,1330 Seventh St Apartments (Immaculate Conception),N,Y,1330 7th St NW,Washington,DC,38.9081164,-77.0222055,92,5/1/2045,136,4,1330th Street LP,For Profit,Edgewood Management Corporation,,
,1429 Girard St,N,N,1429 Girard St,Washington,DC,38.925689,-77.033779,88,,NA,NA,,,,,
,1430 Chapin St NW,N,N,1430 Chapin St NW,Washington,DC,38.921262,-77.03362,91,6/12/2012,11,0,Development Corporation of Columbia Heights,Non-Profit,,,
DC001001950,1475 Columbia Road,N,N,1475 Columbia Rd NW,Washington,DC,38.92759,-77.0351,97,,44,1,DC Housing Authority,,,,
,150 Seaton Pl NW,N,N,150 Seaton Pl NW,Washington,DC,38.914702,-77.0139,88,3/22/2000,10,0,,,,,
,1601 Hobart St NW,N,N,1601 Hobart St NW,Washington,DC,38.9280309,-77.0372588,96,3/22/2005,5,0,,,,,
,1643 Newton St NW,N,N,1643 Newton St NW,Washington,DC,38.9341099,-77.0380069,94,3/22/2005,5,0,,,,,
,1724 Minnesota Ave SE,N,N,1724 Minnesota Ave SE,Washington,DC,38.869281,-76.979789,68,,NA,NA,,,,,
,1728 W Street SE,N,Y,1728 W St SE,Washington,DC,38.86297,-76.97956,68,12/31/2019,15,1,CIH Properties Inc,For Profit,Equity Management,http://www.equitymgmt.com/apartments/washington-dc-apartment-rentals/1728-w-street/,
,18 Missouri Ave NW,N,N,18 Missouri Ave NW,Washington,DC,38.9550437,-77.0099372,67,7/6/2005,12,0,,,,,
,1820 California St Cooperative,N,N,1820 California St NW,Washington,DC,38.917568,-77.042422,97,,NA,NA,,,,,
,1836 Central Place NE,N,N,1836 Central Pl NE,Washington,DC,38.9124849,-76.98588,71,,NA,NA,,,,,
,1919 Calvert Street NW,N,N,1919 Calvert St NW,Washington,DC,38.923492,-77.045343,94,,NA,NA,,,,,
800227470,1st And M,N,N,1160 1st St NE,Washington,DC,38.9052772,-77.0062111,91,5/1/2053,469,1,,,AvalonBay Communities Inc,http://www.avaloncommunities.com/district-of-columbia/washington-apartments/avalon-first-and-m,
800233919,2 And M,N,N,2 M St NE,Washington,DC,38.9058645,-77.008722,92,7/1/2054,315,1,William C Smith,,William C Smith & Co,http://www.wcsmith.com/apartment/2m-street/,
,2327 15th St NW,N,N,2327 15th St NW,Washington,DC,38.921172,-77.034919,93,5/31/2004,26,0,,,,,
,2721 Pennsylvania Ave SE,N,N,2721 Pennsylvania Ave SE,Washington,DC,38.872101,-76.9682,64,,NA,NA,,,,,
,2824 Sherman Ave NW (Coalition for the Homeless),N,N,2824 Sherman Ave NW,Washington,DC,38.926513,-77.026275,88,,NA,NA,,,,,
,32Thirty-Two Apartments,N,Y,3232 Georgia Avenue NW,Washington,DC,38.9308619,-77.0238107,92,,NA,NA,,,Equity Management,http://www.32thirtytwoapartments.com/northwest-dc-apartments-contact.php,
,3471 14th Street NW,N,N,3471 14th St NW,Washington,DC,38.9342897,-77.0323917,94,,NA,NA,,,,,
